gamma,fpt_mean,fpt_sd
1.00,427273.14350467,405632.52481692
2.00,353642.73165000,339500.28199037
3.00,309988.69357800,325246.99670207
4.00,258321.87023667,243968.29391465
5.00,254630.93732133,239511.44350431
6.00,204361.03561933,212145.50671598
7.00,192449.07588733,184258.23186093
8.00,183965.13492633,174389.00656615
9.00,180387.56103967,179405.85467513
10.00,157629.64650033,153880.52848509
11.00,164658.25242800,155777.02583184
12.00,160462.59793000,154149.96185733
13.00,149758.36401267,148221.84140374
14.00,124517.75610600,124163.14599207
15.00,134075.12296300,136076.19149779
16.00,134729.04299467,128553.06592858
17.00,126760.85451400,135420.40839211
18.00,117209.48683567,110077.80726801
19.00,114629.53118067,121958.92141332
20.00,108241.52991037,112886.59005780
