N,fpt_mean,fpt_sd
32.0,124022.431764,119631.988984
58.0,190873.326229,179410.498375
106.0,272248.860274,273243.69749
195.0,208971.113967,201795.048261
357.0,123580.296013,116146.465747
654.0,70311.465846,66812.9945914
1199.0,40471.4204608,39662.3572225
2198.0,19860.5158307,19788.6508418
4030.0,10932.6537162,11414.1900597
7386.0,6176.73180932,6027.55641202
13539.0,3605.65191014,3395.7308261
24816.0,1984.12773756,1774.01202403
45488.0,1070.17187647,998.941644435
83378.0,540.032461271,516.816452054
152831.0,335.192917214,329.638043187
280136.0,183.593751471,176.566740718
513483.0,89.0900036616,90.3442931755
941205.0,45.7964792639,41.6777766893
1725211.0,26.1212302871,28.1938003659
3162278.0,14.2691713667,13.802843636
