N,fpt_mean,fpt_sd
32.0,960690.358776,978152.419845
58.0,963254.293582,883073.574864
106.0,583454.323176,603887.260849
195.0,337256.71546,345854.0863
357.0,203507.490725,207809.070775
654.0,102096.713162,108091.810914
1199.0,60650.1275706,55976.4461674
2198.0,37442.1818014,39003.6166044
4030.0,17547.1280137,16366.8762036
7386.0,8509.58278749,8715.45114337
13539.0,4829.45104259,5423.9140402
24816.00,2650.56471160,2443.23459610
45488.00,1703.33373334,1637.48233657
83378.00,770.81177106,739.83422556
152831.00,419.47984997,419.77884962
280136.00,249.44002933,239.51511845
513483.00,136.07377753,134.66376835
941205.00,85.15511328,76.42732920
1725211.00,41.56744559,42.53368248
3162278.00,22.12142369,21.59628503
